               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033435,            0.014297,            0.016212,             0.49474,             0.34023,             0.34217,             0.19924,            0.049888,           0.0081678,           0.0087217,             0.00307,             0.00307,             0.00307
                  37,            0.032285,            0.014719,            0.015793,             0.37447,             0.29749,             0.30095,             0.17358,            0.051295,           0.0085832,            0.013939,            0.002872,            0.002872,            0.002872
                  38,            0.031693,            0.014749,            0.014629,             0.44202,             0.28482,             0.30579,             0.14579,            0.053031,           0.0082072,             0.01375,            0.002674,            0.002674,            0.002674
                  39,            0.031515,            0.014412,            0.015035,             0.40283,             0.28179,             0.28216,             0.16691,            0.050847,           0.0087926,            0.015015,            0.002476,            0.002476,            0.002476
                  40,            0.031182,             0.01438,            0.014827,             0.52529,             0.29542,             0.31128,             0.17501,            0.051331,           0.0086218,            0.010721,            0.002278,            0.002278,            0.002278
                  41,             0.03041,             0.01423,            0.014715,             0.35872,             0.26837,             0.23796,             0.13476,            0.051299,            0.008803,             0.01267,             0.00208,             0.00208,             0.00208
                  42,            0.030691,             0.01385,            0.014623,             0.48818,             0.29139,             0.30897,             0.18269,            0.051199,           0.0085681,            0.011598,            0.001882,            0.001882,            0.001882
                  43,            0.030047,            0.013963,            0.014866,             0.51382,             0.32482,             0.33597,             0.20363,            0.050226,           0.0088705,            0.012504,            0.001684,            0.001684,            0.001684
                  44,             0.02943,            0.014292,            0.013684,             0.54441,             0.34052,             0.37082,             0.22012,            0.049118,           0.0085989,           0.0096737,            0.001486,            0.001486,            0.001486
                  45,            0.029743,            0.014173,            0.013671,             0.52108,             0.30091,             0.31778,             0.17794,            0.049579,           0.0085782,            0.010858,            0.001288,            0.001288,            0.001288
                  46,            0.028665,            0.013812,             0.01411,             0.47874,             0.30345,             0.32407,             0.18573,            0.050273,           0.0084768,            0.013922,             0.00109,             0.00109,             0.00109
                  47,            0.029884,            0.014188,            0.014099,             0.44105,             0.27887,             0.30295,             0.17465,            0.049659,           0.0088662,            0.012053,            0.000892,            0.000892,            0.000892
                  48,            0.028745,            0.013894,            0.013965,             0.44156,             0.29684,             0.31167,             0.18437,            0.049466,           0.0089328,            0.010948,            0.000694,            0.000694,            0.000694
                  49,            0.028477,            0.013457,             0.01375,             0.44445,             0.32219,             0.31843,             0.19405,            0.049908,           0.0088443,            0.012781,            0.000496,            0.000496,            0.000496
