               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.039266,            0.016436,            0.012365,             0.56699,             0.41449,             0.40539,             0.22346,            0.053727,            0.018869,             0.01209,            0.006436,            0.006436,            0.006436
                  38,            0.038539,            0.016594,            0.012139,             0.58307,             0.45178,             0.44119,              0.2347,            0.049671,            0.019188,           0.0097964,            0.006337,            0.006337,            0.006337
                  39,             0.03749,            0.016778,            0.011489,              0.5923,             0.43795,             0.44026,             0.24378,             0.05141,            0.019408,            0.010527,            0.006238,            0.006238,            0.006238
                  40,            0.038391,            0.017027,            0.011609,             0.54367,             0.45094,             0.43964,             0.24695,             0.05106,            0.019452,            0.010116,            0.006139,            0.006139,            0.006139
                  41,            0.037862,            0.016553,            0.011172,             0.54584,               0.434,             0.42614,             0.23684,            0.051247,            0.020789,            0.010648,             0.00604,             0.00604,             0.00604
                  42,            0.037685,            0.016178,            0.011232,             0.53985,             0.42932,             0.39888,             0.21711,            0.052275,            0.018871,           0.0094784,            0.005941,            0.005941,            0.005941
                  43,            0.036539,             0.01641,            0.011307,             0.63392,             0.43795,             0.42482,              0.2186,            0.051604,            0.019842,            0.010827,            0.005842,            0.005842,            0.005842
                  44,            0.036996,            0.017329,             0.01055,             0.53961,             0.45243,             0.42722,              0.2216,            0.051125,            0.019371,            0.010402,            0.005743,            0.005743,            0.005743
                  45,            0.036339,             0.01696,            0.010522,             0.56029,             0.42334,             0.42479,              0.2334,            0.052162,            0.019618,           0.0095573,            0.005644,            0.005644,            0.005644
                  46,             0.03689,            0.016802,            0.011778,             0.60026,             0.48782,             0.45097,             0.22592,            0.051435,            0.019812,           0.0095492,            0.005545,            0.005545,            0.005545
                  47,            0.036805,            0.016191,            0.011955,              0.5547,             0.45022,             0.46428,             0.25278,            0.050514,            0.019119,           0.0088478,            0.005446,            0.005446,            0.005446
                  48,              0.0372,            0.016314,            0.011391,             0.52679,             0.48526,             0.43119,             0.22232,            0.050423,            0.020079,           0.0079185,            0.005347,            0.005347,            0.005347
                  49,            0.036485,             0.01553,            0.011427,             0.54516,             0.44247,             0.45138,             0.24772,            0.050801,            0.019803,           0.0097258,            0.005248,            0.005248,            0.005248
                  50,             0.03616,            0.016065,            0.011133,             0.56865,              0.4576,             0.44569,             0.24089,            0.050058,            0.019456,           0.0088597,            0.005149,            0.005149,            0.005149
                  51,            0.035584,            0.016515,            0.011705,             0.55085,             0.43215,             0.40391,             0.21629,            0.050478,            0.019858,           0.0093288,             0.00505,             0.00505,             0.00505
                  52,            0.035201,            0.016127,             0.01085,             0.52882,             0.43522,             0.41799,             0.22619,             0.05087,            0.020809,            0.011211,            0.004951,            0.004951,            0.004951
                  53,            0.035371,            0.016304,            0.010688,             0.55908,             0.44497,             0.40351,             0.21317,             0.05091,            0.020134,           0.0092406,            0.004852,            0.004852,            0.004852
                  54,             0.03477,            0.016198,            0.011025,             0.58104,             0.47039,             0.43834,             0.24534,            0.049888,            0.021254,           0.0091105,            0.004753,            0.004753,            0.004753
                  55,            0.034106,            0.016104,             0.01079,             0.55676,             0.45451,             0.45242,             0.24587,             0.05164,            0.019057,           0.0073169,            0.004654,            0.004654,            0.004654
                  56,            0.034535,            0.015932,            0.011043,             0.50248,             0.39846,             0.36179,             0.19113,            0.051641,            0.020492,            0.008357,            0.004555,            0.004555,            0.004555
                  57,            0.034203,            0.016187,            0.010792,             0.56923,             0.39844,             0.41141,             0.23165,            0.051915,            0.020134,           0.0096088,            0.004456,            0.004456,            0.004456
                  58,            0.033944,            0.015749,            0.010178,              0.5713,             0.42377,             0.41638,             0.23715,            0.051521,            0.019879,            0.011764,            0.004357,            0.004357,            0.004357
                  59,             0.03473,            0.015692,            0.010278,             0.52248,              0.4113,             0.41342,             0.23203,            0.051534,            0.021511,            0.009435,            0.004258,            0.004258,            0.004258
                  60,            0.033216,            0.016088,           0.0099991,             0.57876,             0.43807,             0.41972,             0.21988,            0.053041,            0.020725,           0.0096727,            0.004159,            0.004159,            0.004159
                  61,            0.033389,            0.015434,            0.010811,             0.58523,             0.43032,             0.43555,             0.24663,            0.051004,            0.020438,           0.0094164,             0.00406,             0.00406,             0.00406
                  62,            0.033427,            0.015828,            0.010953,             0.57375,             0.41801,             0.42276,              0.2415,            0.051953,            0.020799,            0.010891,            0.003961,            0.003961,            0.003961
                  63,            0.032708,            0.015598,            0.010479,             0.61991,             0.44141,              0.4619,             0.26465,            0.050326,            0.020195,           0.0079765,            0.003862,            0.003862,            0.003862
                  64,            0.033525,            0.015284,            0.010536,             0.49964,             0.43181,             0.41513,             0.23063,            0.051267,            0.020684,           0.0093619,            0.003763,            0.003763,            0.003763
                  65,              0.0318,            0.015288,             0.01064,             0.53894,             0.45713,             0.42641,             0.23802,            0.050724,            0.019984,           0.0093857,            0.003664,            0.003664,            0.003664
                  66,            0.032488,            0.015494,            0.010233,             0.57636,             0.44316,             0.42234,             0.23043,            0.051403,            0.020614,            0.010297,            0.003565,            0.003565,            0.003565
                  67,            0.031917,            0.015316,            0.009541,             0.54175,             0.44908,             0.42669,             0.24552,            0.051838,            0.019721,           0.0082301,            0.003466,            0.003466,            0.003466
                  68,            0.032493,            0.014843,             0.01028,             0.54986,             0.43193,             0.40882,             0.22651,            0.051776,            0.019769,            0.010075,            0.003367,            0.003367,            0.003367
                  69,            0.032374,            0.015491,            0.010582,             0.56477,             0.44813,              0.4477,              0.2591,            0.051608,            0.019984,            0.010191,            0.003268,            0.003268,            0.003268
                  70,            0.031805,            0.015398,            0.009909,             0.58569,             0.43166,              0.4138,             0.23744,            0.051871,            0.020063,            0.012196,            0.003169,            0.003169,            0.003169
